accession,Freq,organism,organism_short
NR_044048.1,2,"Coprococcus comes ATCC 27758 16S ribosomal RNA, partial sequence",Coprococcus comes
NR_144608.1,2,"Cuneatibacter caecimuris strain BARN-424-CC-10 16S ribosomal RNA, partial sequence",Cuneatibacter caecimuris
NR_024570.1,2,"Escherichia coli strain U 5/41 16S ribosomal RNA, partial sequence",Escherichia coli
NR_104737.1,2,"Eubacterium oxidoreducens strain G41 16S ribosomal RNA, partial sequence",Eubacterium oxidoreducens
NR_148620.1,2,"Lachnotalea glycerini strain : DLD10 16S ribosomal RNA, partial sequence",Lachnotalea glycerini
NR_104899.1,2,"Lacrimispora xylanisolvens strain X5-1 16S ribosomal RNA, partial sequence",Lacrimispora xylanisolvens
NR_117573.1,2,"Lactobacillus gasseri strain CIP 102991 16S ribosomal RNA, partial sequence",Lactobacillus gasseri
NR_027206.1,2,"Limosilactobacillus antri strain Kx146A4 16S ribosomal RNA, partial sequence",Limosilactobacillus antri
NR_157747.1,2,"Limosilactobacillus caviae strain MOZM2 16S ribosomal RNA, partial sequence",Limosilactobacillus caviae
NR_201926.1,2,"Limosilactobacillus reuteri subsp. pararodentium strain mlc3 16S ribosomal RNA, partial sequence",Limosilactobacillus reuteri
NR_199415.1,2,"Mediterraneibacter flintii strain 13CB18C 16S ribosomal RNA, partial sequence",Mediterraneibacter flintii
NR_026100.1,1,"[Clostridium] celerecrescens 18A 16S ribosomal RNA, partial sequence",[Clostridium] celerecrescens
NR_112654.1,1,"[Clostridium] celerecrescens 18A 16S ribosomal RNA, partial sequence",[Clostridium] celerecrescens
NR_042637.1,1,"Adlercreutzia mucosicola strain Mt1B8 16S ribosomal RNA, partial sequence",Adlercreutzia mucosicola
NR_118044.1,1,"Aeromonas piscicola strain CECT 7443 16S ribosomal RNA, partial sequence",Aeromonas piscicola
NR_028835.1,1,"Atopostipes suicloacalis strain PPC79 16S ribosomal RNA, partial sequence",Atopostipes suicloacalis
NR_041313.1,1,"Bacteroides finegoldii strain 199 16S ribosomal RNA, partial sequence",Bacteroides finegoldii
NR_112947.1,1,"Bacteroides xylanisolvens XB1A 16S ribosomal RNA, partial sequence",Bacteroides xylanisolvens
NR_174235.1,1,"Bifidobacterium canis strain GSD1FS 16S ribosomal RNA, partial sequence",Bifidobacterium canis
NR_201917.1,1,"Bifidobacterium catenulatum subsp. puerorum strain YIT 11099 16S ribosomal RNA, partial sequence",Bifidobacterium catenulatum
NR_043437.1,1,"Bifidobacterium longum subsp. infantis strain ATCC 15697 16S ribosomal RNA, partial sequence",Bifidobacterium longum
NR_145535.1,1,"Bifidobacterium longum subsp. suillum strain Su 851 16S ribosomal RNA, partial sequence",Bifidobacterium longum
NR_180397.1,1,"Bifidobacterium samirii strain LMG 30940 16S ribosomal RNA, partial sequence",Bifidobacterium samirii
NR_109014.1,1,"Blautia faecis strain M25 16S ribosomal RNA, partial sequence",Blautia faecis
NR_026347.1,1,"Clostridium isatidis strain WV6 16S ribosomal RNA gene, partial sequence",Clostridium isatidis
NR_180797.1,1,"Clostridium porci strain WCA-389-WT-23D1 16S ribosomal RNA, partial sequence",Clostridium porci
NR_026020.1,1,"Clostridium septicum strain Pasteur III 16S ribosomal RNA, partial sequence",Clostridium septicum
NR_028883.1,1,"Dorea longicatena strain 111-35 16S ribosomal RNA, partial sequence",Dorea longicatena
NR_170509.1,1,"Duncaniella freteri strain TLL-A3 16S ribosomal RNA, partial sequence",Duncaniella freteri
NR_144737.1,1,"Emergencia timonensis strain SN18 16S ribosomal RNA, partial sequence",Emergencia timonensis
NR_112558.1,1,"Escherichia coli strain JCM 1649 16S ribosomal RNA, partial sequence",Escherichia coli
NR_027549.1,1,"Escherichia fergusonii ATCC 35469 16S ribosomal RNA, partial sequence",Escherichia fergusonii
NR_136472.1,1,"Escherichia marmotae strain HT073016 16S ribosomal RNA, partial sequence",Escherichia marmotae
NR_156907.1,1,"Faecalimonas umbilicata strain EGH7 16S ribosomal RNA, partial sequence",Faecalimonas umbilicata
NR_036928.1,1,"Hungatella hathewayi strain 1313 16S ribosomal RNA, partial sequence",Hungatella hathewayi
NR_119068.1,1,"Lacrimispora aerotolerans strain DSM 5434 16S ribosomal RNA, partial sequence",Lacrimispora aerotolerans
NR_197643.1,1,"Lacrimispora brassicae strain YZC6 16S ribosomal RNA, partial sequence",Lacrimispora brassicae
NR_037068.1,1,"Lacrimispora xylanolytica strain DSM 6555 16S ribosomal RNA, partial sequence",Lacrimispora xylanolytica
NR_179257.1,1,"Lactobacillus paragasseri strain JCM 5343 16S ribosomal RNA, partial sequence",Lactobacillus paragasseri
NR_044507.1,1,"Lactobacillus taiwanensis strain BCRC 17755 16S ribosomal RNA, partial sequence",Lactobacillus taiwanensis
NR_043551.1,1,"Lactonifactor longoviformis strain ED-Mt61/PYG-s6 16S ribosomal RNA, partial sequence",Lactonifactor longoviformis
NR_181429.1,1,"Limosilactobacillus portuensis strain c11Ua_112_M 16S ribosomal RNA, partial sequence",Limosilactobacillus portuensis
NR_144615.1,1,"Longibaculum muris strain MT10-315-CC-1.2-2 16S ribosomal RNA, partial sequence",Longibaculum muris
NR_179276.1,1,"Mediterraneibacter butyricigenes strain KCTC 15684 16S ribosomal RNA, partial sequence",Mediterraneibacter butyricigenes
NR_118690.1,1,"Mediterraneibacter gnavus ATCC 29149 16S ribosomal RNA, partial sequence",Mediterraneibacter gnavus
NR_157642.1,1,"Merdimonas faecis strain BR31 16S ribosomal RNA, partial sequence",Merdimonas faecis
NR_144617.1,1,"Muricomes intestini strain 2PG-424-CC-1 16S ribosomal RNA, partial sequence",Muricomes intestini
NR_179976.1,1,"Paramuribaculum intestinale strain B1117 16S ribosomal RNA, partial sequence",Paramuribaculum intestinale
NR_025390.1,1,"Parasporobacterium paucivorans strain SYR1 16S ribosomal RNA, partial sequence",Parasporobacterium paucivorans
NR_179227.1,1,"Pseudomonas edaphica strain RD25 16S ribosomal RNA, partial sequence",Pseudomonas edaphica
NR_199514.1,1,"Pseudomonas fjordensis strain DMSP-1 16S ribosomal RNA, partial sequence",Pseudomonas fjordensis
NR_113647.1,1,"Pseudomonas fluorescens strain NBRC 14160 16S ribosomal RNA, partial sequence",Pseudomonas fluorescens
NR_179450.1,1,"Pseudomonas kairouanensis strain KC12 16S ribosomal RNA, partial sequence",Pseudomonas kairouanensis
NR_156987.1,1,"Pseudomonas paralactis strain DSM 29164 16S ribosomal RNA, partial sequence",Pseudomonas paralactis
NR_179481.1,1,"Pseudomonas pisciculturae strain P115 16S ribosomal RNA, partial sequence",Pseudomonas pisciculturae
NR_028986.1,1,"Pseudomonas poae strain P 527/13 16S ribosomal RNA, partial sequence",Pseudomonas poae
NR_114595.1,1,"Pseudomonas tolaasii NCPPB 2192 16S ribosomal RNA, partial sequence",Pseudomonas tolaasii
NR_028987.1,1,"Pseudomonas trivialis strain P 513/19 16S ribosomal RNA, partial sequence",Pseudomonas trivialis
NR_104826.1,1,"Shigella sonnei strain CECT 4887 16S ribosomal RNA, partial sequence",Shigella sonnei
NR_181392.1,1,"Simiaoa hominis strain H15 16S ribosomal RNA, partial sequence",Simiaoa hominis
NR_180986.1,1,"Sporofaciens musculi strain WCA-9-b2 16S ribosomal RNA, partial sequence",Sporofaciens musculi
